Title,URL,Lat,Long
The Springs Resort and Spa,https://www.ultimatehotspringsguide.com/the-springs-resort-and-spa.html,37.2658731,-107.01000620000002
Treehouse Hot Springs,https://www.ultimatehotspringsguide.com/treehouse-hot-springs.html,38.731087,-106.17215299999998
Trimble Hot Springs,https://www.ultimatehotspringsguide.com/trimble-hot-springs.html,37.3911182,-107.84874360000003
Twin Peaks Lodge and Hot Springs,https://www.ultimatehotspringsguide.com/twin-peaks-lodge-and-hot-springs.html,38.0190951,-107.67305190000002
Valley View Hot Springs,https://www.ultimatehotspringsguide.com/valley-view-hot-springs.html,38.1919134,-105.81536490000002
Wiesbaden Hot Springs​,https://www.ultimatehotspringsguide.com/wiesbaden-hot-springs8203.html,38.0230815,-107.668273
Banbury Hot Springs ,https://www.ultimatehotspringsguide.com/banbury-hot-springs.html,42.689782,-114.82714090000002
Baumgartner Campground Hot Springs,https://www.ultimatehotspringsguide.com/baumgartner-campground-hot-springs.html,43.6055304,-115.08162620000002
Burgdorf Hot Springs,https://www.ultimatehotspringsguide.com/burgdorf-hot-springs.html,45.2759769,-115.91384549999998
​Challis Hot Springs,https://www.ultimatehotspringsguide.com/8203challis-hot-springs.html,44.5231636,-114.17399879999999
​Downata Hot Springs Idaho ,https://www.ultimatehotspringsguide.com/8203downata-hot-springs.html,42.3888682,-112.0889654
Durfee Hot Springs,https://www.ultimatehotspringsguide.com/durfee-hot-springs.html,42.1039855,-113.63097959999999
​Easley Hot Springs,https://www.ultimatehotspringsguide.com/8203easley-hot-springs.html,43.779351,-114.53914459999999
Givens Hot Springs,https://www.ultimatehotspringsguide.com/givens-hot-springs.html,43.4159612,-116.70697459999997
Goldbug Hot Springs,https://www.ultimatehotspringsguide.com/goldbug-hot-springs.html,44.9051852,-113.9296536
Gold Fork Hot Springs,https://www.ultimatehotspringsguide.com/gold-fork-hot-springs.html,44.67584009999999,-115.94369890000002
Green Canyon Hot Springs,https://www.ultimatehotspringsguide.com/green-canyon-hot-springs.html,43.79204,-111.43962699999997
Heise Hot Springs,https://www.ultimatehotspringsguide.com/heise-hot-springs.html,43.6428911,-111.68833899999998
Idaho Rocky Mountain Ranch,https://www.ultimatehotspringsguide.com/idaho-rocky-mountain-ranch.html,44.1062621,-114.84862800000002
